,Preco,PrecoJusto,Licitantes,Irregular,Distancia,CustoFixo,Dias,Indice
0,1115,1149,9,0,0.1,561.861,250,0.9704090513489991
1,46,62,8,0,0.1,62.0,60,0.7419354838709677
2,240,195,3,1,0.2,85.215,65,1.2307692307692308
3,64,57,2,1,0.2,16.074,70,1.1228070175438596
4,170,187,3,0,0.2,80.78399999999999,100,0.9090909090909091
5,23,22,2,0,0.2,6.577999999999999,45,1.0454545454545454
6,208,168,4,1,0.2,89.88,60,1.2380952380952381
7,169,145,3,0,0.2,44.225,145,1.1655172413793105
8,117,126,3,0,0.2,46.62,80,0.9285714285714286
9,24,33,7,0,0.3,11.780999999999999,60,0.7272727272727273
10,551,498,3,1,0.3,251.988,100,1.106425702811245
11,669,597,3,1,0.4,556.404,120,1.120603015075377
12,189,202,7,0,0.4,109.28200000000001,120,0.9356435643564357
13,106,129,2,0,0.5,48.633,60,0.8217054263565892
14,35,39,3,0,0.5,8.736,45,0.8974358974358975
15,82,93,3,0,0.6,8.184,100,0.8817204301075269
16,36,42,3,0,0.6,2.8560000000000003,45,0.8571428571428571
17,1928,1766,2,1,0.6,1414.566,190,1.0917327293318233
18,471,448,8,0,0.7,199.808,150,1.0513392857142858
19,729,763,11,0,0.7,428.043,200,0.9554390563564875
20,51,60,4,0,0.8,12.3,50,0.85
21,32,28,3,0,0.8,9.296,60,1.1428571428571428
22,446,435,7,0,0.8,240.555,150,1.025287356321839
23,749,859,13,0,0.9,414.897,180,0.8719441210710128
24,727,778,5,0,1.0,367.994,220,0.9344473007712082
25,145,147,2,1,1.0,45.717,85,0.9863945578231292
26,3911,3406,5,1,1.0,2707.77,350,1.1482677627715796
27,110,120,5,0,1.1,25.32,70,0.9166666666666666
28,167,132,3,1,1.1,64.68,120,1.2651515151515151
29,77,75,3,1,1.2,19.875,90,1.0266666666666666
30,78,74,2,1,1.2,19.61,75,1.054054054054054
31,94,116,7,0,1.2,36.888000000000005,75,0.8103448275862069
32,690,802,5,0,1.2,336.038,210,0.8603491271820449
33,479,487,8,0,1.4,142.691,140,0.9835728952772074
34,77,101,3,0,1.6,10.605,90,0.7623762376237624
35,242,244,3,1,1.6,30.5,45,0.9918032786885246
36,161,164,12,0,1.6,57.071999999999996,100,0.9817073170731707
37,698,646,7,0,1.6,320.416,180,1.0804953560371517
38,150,199,7,0,1.6,43.382,100,0.7537688442211056
39,581,675,9,0,1.6,301.725,225,0.8607407407407407
40,44,41,4,0,1.8,5.084,30,1.0731707317073171
41,202,249,4,0,1.8,99.102,120,0.8112449799196787
42,2301,2506,7,0,1.9,1450.974,400,0.918196328810854
43,638,627,4,0,1.9,307.23,140,1.0175438596491229
44,85,98,6,0,2.0,17.738,50,0.8673469387755102
45,114,132,9,0,2.0,43.032,70,0.8636363636363636
46,87,75,2,1,2.0,6.45,60,1.16
47,1218,1341,11,0,2.0,657.09,350,0.9082774049217002
48,2527,2617,4,0,2.2,1025.864,350,0.965609476499809
49,912,1138,2,0,2.2,246.946,220,0.8014059753954306
50,2369,2457,4,0,2.2,1149.876,320,0.9641839641839642
51,393,491,9,0,2.2,312.276,180,0.8004073319755601
52,170,176,4,1,2.4,55.263999999999996,125,0.9659090909090909
53,537,676,8,0,2.4,300.82,225,0.7943786982248521
54,3816,4961,4,0,2.4,3135.3520000000003,450,0.7691997581132836
55,1462,1775,8,0,2.5,1056.125,220,0.8236619718309859
56,1187,1573,5,0,2.6,662.2330000000001,230,0.7546090273363001
57,4385,5557,7,0,2.6,3400.884,600,0.7890948353428109
58,9453,9480,6,0,2.7,6086.16,500,0.9971518987341772
59,227,174,2,1,2.7,34.278,50,1.3045977011494252
60,115,118,12,0,2.8,4.602,65,0.9745762711864406
61,3865,3991,7,0,2.8,2570.2039999999997,800,0.9684289651716362
62,235,231,5,1,2.8,51.744,90,1.0173160173160174
63,2160,2699,7,0,2.9,1276.627,360,0.8002964060763246
64,2473,2618,4,0,3.0,1322.09,630,0.9446142093200917
65,189,270,12,0,3.0,132.84,115,0.7
66,5412,5086,7,0,3.1,3214.3520000000003,815,1.0640975226110894
67,117,114,4,0,3.2,5.928,35,1.0263157894736843
68,1370,1378,7,0,3.2,735.852,400,0.9941944847605225
69,4771,7511,13,0,3.4,4333.847,600,0.6352017041672214
70,196,199,3,0,3.5,26.268,50,0.9849246231155779
71,1559,1925,10,0,3.6,879.725,250,0.8098701298701299
72,45,68,3,0,3.6,4.352,65,0.6617647058823529
73,33,40,7,0,3.6,17.44,35,0.825
74,333,376,8,0,3.9,162.056,140,0.8856382978723404
75,240,315,4,0,4.0,74.34,100,0.7619047619047619
76,124,107,2,0,4.0,4.708,45,1.158878504672897
77,2976,2832,6,0,4.0,1537.776,440,1.0508474576271187
78,5885,6097,7,0,4.1,3011.9179999999997,900,0.9652288010496965
79,473,548,3,0,4.2,73.432,130,0.8631386861313869
80,577,701,2,0,4.2,184.363,150,0.8231098430813124
81,1354,1618,7,0,4.3,736.19,200,0.8368355995055624
82,5196,6365,9,0,4.3,3927.205,805,0.8163393558523173
83,285,316,3,0,4.3,6.32,110,0.9018987341772152
84,3300,2806,4,1,4.4,1074.698,525,1.1760513186029935
85,261,352,4,0,4.5,38.72,120,0.7414772727272727
86,202,197,2,1,4.5,40.976000000000006,90,1.0253807106598984
87,4765,5036,11,0,4.6,3489.948,300,0.9461874503574266
88,139,152,3,0,4.6,5.776,60,0.9144736842105263
89,1139,1255,13,0,4.6,312.495,200,0.9075697211155378
90,245,222,4,1,4.7,37.074,90,1.1036036036036037
91,179,209,5,0,4.8,19.646,90,0.8564593301435407
92,5734,5427,8,0,5.0,3082.5359999999996,700,1.0565690068177631
93,832,907,9,0,5.4,378.219,190,0.9173098125689085
94,201,183,3,0,5.6,16.287,90,1.098360655737705
95,546,623,3,0,5.9,230.51,165,0.8764044943820225
96,396,419,3,0,5.9,121.09100000000001,185,0.9451073985680191
97,158,187,2,0,6.1,14.212,60,0.8449197860962567
98,347,394,3,0,6.2,61.858000000000004,150,0.8807106598984772
99,2518,3124,12,0,6.2,1324.576,255,0.8060179257362355
100,148,143,3,1,6.3,12.298,50,1.034965034965035
101,657,751,4,1,6.3,251.585,180,0.8748335552596538
102,258,306,7,0,6.4,8.262,75,0.8431372549019608
103,391,359,3,1,6.4,36.618,100,1.0891364902506964
104,796,970,7,0,6.5,387.03,175,0.8206185567010309
105,268,308,6,0,6.6,12.936,75,0.8701298701298701
106,363,386,3,0,7.2,123.52,100,0.9404145077720207
107,899,872,2,1,7.2,210.15200000000002,165,1.0309633027522935
